# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000    116429301.03264919 17464.39515490
0.00100    116417137.09667191 62865.25552517
0.00200    116380649.83778459 89031.19994508
0.00300    116319868.39149645 104687.88528165
0.00400    116234814.96991184 104611.33744794
0.00500    116125564.83755668 135866.91623772
0.00600    115992166.95585997 121791.78026205
0.00700    115834721.77123564 194602.34066340
0.00800    115653297.54284984 218584.74158462
0.00900    115448064.88327734 242440.94661868
0.01000    115219075.30566525 247144.92720225
0.01100    114966544.02457863 227633.76707969
0.01200    114690564.16505404 290740.59290558
0.01300    114391376.49605739 336310.66173131
0.01400    114069092.33492881 359317.65678392
0.01500    113723989.91992722 272937.58796142
0.01600    113356175.93486495 346869.91386698
0.01700    112966006.35104936 335509.05391312
0.01800    112553627.96852864 481166.78121680
0.01900    112119324.05547003 403629.58481250
0.02000    111663345.22245763 457261.41937049
0.02100    111186052.79406059 403605.38994129
0.02200    110687574.52321401 458246.57934532
0.02300    110168357.57586719 475927.32639119
0.02400    109628635.20022663 411107.40074634
0.02500    109068810.26432857 638052.56918658
0.02600    108489153.86762086 439381.09326040
0.02700    107890061.49786191 498452.10694978
0.02800    107271789.85024840 559958.76869779
0.02900    106634855.28360724 527842.55788933
0.03000    105979534.17314962 640646.31352417
0.03100    105306244.80781421 606563.99800293
0.03200    104615338.99553227 673199.73744257
0.03300    103907369.82723834 582920.37160371
0.03400    103182537.64228228 650050.01713993
0.03500    102441422.88987477 885093.93464045
0.03600    101684350.79556546 564348.17299602
0.03700    100911847.32623562 690237.06763320
0.03800    100124291.95687357 702872.56206589
0.03900    99322205.71436344 774713.24044901
0.04000    98505878.03061278 726973.41355312
0.04100    97675959.71592176 615358.57474237
0.04200    96832832.32864875 749486.15699455
0.04300    95976912.20734200 760137.17996617
0.04400    95108752.44139232 770380.93055327
0.04500    94228856.37890983 650179.13922498
0.04600    93337560.53337225 723832.81558502
0.04700    92435474.37784387 798642.53576777
0.04800    91523018.08088803 874502.47845184
0.04900    90600764.68133987 883357.49676115
0.05000    89669091.94400662 823162.30237746
0.05100    88728576.26296943 1107332.68334588
0.05200    87779581.30867270 837417.24470945
0.05300    86822750.90428016 843917.17813122
0.05400    85858488.52123874 849999.07599900
0.05500    84887317.40246509 784358.84938855
0.05600    83909655.70503804 1004398.62565872
0.05700    82926151.70297635 937894.81954021
0.05800    81937108.39574958 725143.44316108
0.05900    80943056.59102102 801336.29767818
0.06000    79944535.14299262 877791.03687940
0.06100    78942017.67783442 880992.95845463
0.06200    77935962.23580423 957443.34082113
0.06300    76926869.77245829 812347.78277872
0.06400    75915026.26675612 888205.84885952
0.06500    74901145.84559569 1112282.06783719
