# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000    116510559.10600321 17476.58386590
0.00100    116498473.56710021 62909.17722025
0.00200    116462221.90361214 89093.60257741
0.00300    116401833.48493704 104761.65386838
0.00400    116317331.72696111 104685.60253210
0.00500    116208793.27610424 135964.29351467
0.00600    116076269.08358678 121880.08749976
0.00700    115919860.66113289 194745.37400437
0.00800    115739640.47190660 218747.92972743
0.00900    115535780.72599575 242625.14989626
0.01000    115308336.44968784 247336.39236444
0.01100    115057525.15550628 227813.90972677
0.01200    114783447.38993329 290976.05189098
0.01300    114486342.77915578 336589.86261594
0.01400    114166332.75959666 359623.96413520
0.01500    113823694.81028990 273176.87970895
0.01600    113458545.09466927 347183.16350998
0.01700    113071239.02214527 335821.59496029
0.01800    112661935.42612088 481629.79561884
0.01900    112230921.44668171 404031.33543899
0.02000    111778449.67697568 457732.77213306
0.02100    111304889.30242980 404036.76648623
0.02200    110810376.25227109 458754.97852672
0.02300    110295360.30107914 476475.97818908
0.02400    109760081.28671972 411600.32359317
0.02500    109204948.71700320 638848.97917110
0.02600    108630243.86133558 439952.50776108
0.02700    108036363.53314345 499128.02238374
0.02800    107423565.36756229 560751.03693450
0.02900    106792382.90246055 528622.31963845
0.03000    106143095.44663945 641635.04146787
0.03100    105476119.60314652 607542.47686907
0.03200    104791820.39574972 674335.39530528
0.03300    104090754.80146094 583949.16135652
0.03400    103373123.36153904 651250.70722665
0.03500    102639517.43474430 886805.47158716
0.03600    101890265.26063833 565490.99832999
0.03700    101125895.44287150 691701.15681870
0.03800    100346786.02825797 704434.47051929
0.03900    99553476.12480035 776517.14973396
0.04000    98746243.52679192 728747.31099713
0.04100    97925752.17714861 616932.26732106
0.04200    97092376.58527759 751495.02963405
0.04300    96246545.52159129 762272.67591415
0.04400    95388804.14643249 772649.34946945
0.04500    94519661.33179511 652185.69349313
0.04600    93639447.27249011 726173.94735571
0.04700    92748785.93170777 801349.54771905
0.04800    91848080.24514298 877608.44757581
0.04900    90937912.69620310 886644.69005907
0.05000    90018649.21414091 826371.23826672
0.05100    89090874.80451269 1111854.16935497
0.05200    88154941.89637546 840998.18488301
0.05300    87211492.68027657 847695.74837006
0.05400    86260920.82459466 853983.15598802
0.05500    85303753.21467337 788206.71647286
0.05600    84340401.31438380 1009554.65084319
0.05700    83371499.30058512 942931.70110428
0.05800    82397346.71976593 729216.55251880
0.05900    81418470.72003518 806042.89777525
0.06000    80435397.19807726 883180.70249603
0.06100    79448589.69774330 886646.30246100
0.06200    78458496.77997442 963862.67799632
0.06300    77465608.74126434 818036.86655531
0.06400    76470202.68649150 894701.41327420
0.06500    75472978.56022596 1120773.78404668
0.06600    74474247.25881885 823312.84196784
0.06700    73474448.77961522 749439.41262506
0.06800    72474075.69845733 975138.73416809
0.06900    71473559.98159501 1125708.62241458
0.07000    70473223.71915603 900647.84130678
0.07100    69473547.27504395 1050440.08399893
0.07200    68474924.92021987 899760.55560259
0.07300    67477841.84116316 823904.48748513
0.07400    66482604.34977193 897515.20078321
0.07500    65489611.26651508 746581.60343241
0.07600    64499163.16860910 968454.98037842
0.07700    63511831.89694395 891706.16164386
